,geometry,month_timestamp,detection_drives_count,avg_speed,near_miss_pedestrian_ratio,near_miss_bicycle_ratio,near_miss_vehicle_ratio,avg_pedestrian_on_road_volume,avg_bicycle_on_road_volume,braking_count,cornering_count,harsh_braking_ratio,harsh_cornering_ratio
2914,"[[34.788295, 32.047033], [34.788409, 32.047091]]",1/1/2021,267,46.55170297,0,0,0,0,0,13,230,0,0.00173913
2915,"[[34.78405, 32.046702], [34.784109, 32.046774]]",1/1/2021,388,35.1854105,0.00257732,0,0.00257732,0.00257732,0.005154639,39,285,0,0.029763218
2916,"[[34.784211, 32.046861], [34.78438, 32.046954]]",1/1/2021,444,40.54803466,0,0.004504505,0,0.011261261,0.011261261,16,286,0,0.06216843
2917,"[[34.771901, 32.035763], [34.77219, 32.035736]]",1/1/2021,2158,77.39679461,0,0,0.000926784,0,0,170,1537,0,0.018181677
2918,"[[34.759972, 32.035584], [34.760016, 32.035767]]",1/1/2021,2275,81.5234099,0,0,0,0,0,81,1620,0,0.031236772
2919,"[[34.760984, 32.037312], [34.761215, 32.037498]]",1/1/2021,2794,77.99162672,0,0,0.00035791,0,0,211,1979,0,0.092394477
2920,"[[34.763645, 32.038185], [34.763907, 32.038157]]",1/1/2021,2809,74.78625266,0,0,0,0.000355999,0,193,1955,0,0.042337507
2921,"[[34.763907, 32.038157], [34.764176, 32.038117]]",1/1/2021,2829,74.59500747,0,0,0,0,0,183,1961,0,0.041969998
2922,"[[34.776277, 32.089154], [34.775579, 32.08928]]",1/1/2021,465,26.40728819,0,0,0,0.062365591,0.021505376,0,0,0,0
2923,"[[34.783766, 32.095251], [34.78376, 32.095444]]",1/1/2021,2509,53.10463703,0.00079713,0.000398565,0,0.007572738,0.005978477,260,1458,0,0.001628944
2924,"[[34.783518, 32.093974], [34.78354, 32.094064]]",1/1/2021,2039,48.70716576,0,0,0.000490436,0.009318293,0.008827857,141,1173,0,0.005354053
2925,"[[34.78289, 32.090955], [34.783007, 32.091529]]",1/1/2021,3403,32.48524207,0.001469292,0.000587717,0.013517485,0.040258595,0.058477814,569,1335,0,0.009419352
2926,"[[34.783074, 32.09185], [34.7833, 32.092939]]",1/1/2021,3617,42.0357364,0.004147083,0.001105889,0.011058889,0.050594415,0.047829693,710,1465,0,0.002097307
2927,"[[34.782151, 32.086807], [34.782249, 32.087391]]",1/1/2021,2238,37.69101311,0.000893655,0,0.017873101,0.035299374,0.03798034,478,950,0,0.001148325
2928,"[[34.781687, 32.084459], [34.781859, 32.085135]]",1/1/2021,3209,32.26823787,0.008413836,0.002181365,0.023060143,0.060766594,0.06918043,725,1132,0,0.004204542
2929,"[[34.770171, 32.086857], [34.770102, 32.086815]]",1/1/2021,158,49.92785881,0,0,0,0,0.012658228,5,62,0,0
2930,"[[34.770328, 32.086954], [34.770171, 32.086857]]",1/1/2021,350,49.56366162,0,0,0,0.008571429,0.02,6,65,0,0
2931,"[[34.77418, 32.030384], [34.774328, 32.030709]]",1/1/2021,1349,61.68295617,0,0,0,0.003706449,0.005930319,88,725,0,0.002061679
2932,"[[34.769828, 32.031401], [34.769907, 32.031398]]",1/1/2021,202,45.35289004,0,0,0.004950495,0.00990099,0,57,135,0,0
2933,"[[34.771227, 32.030053], [34.771486, 32.029816]]",1/1/2021,190,48.97805244,0,0,0,0.010526316,0.005263158,16,122,0,0
2934,"[[34.76743, 32.033446], [34.768228, 32.031921]]",1/1/2021,215,41.66049913,0.018604651,0,0,0.097674419,0.018604651,35,66,0,0.006209818
2935,"[[34.773955, 32.029865], [34.774045, 32.030058]]",1/1/2021,948,57.98996919,0,0,0,0.01371308,0.007383966,50,566,0,0.005971279
2936,"[[34.779779, 32.074044], [34.779117, 32.07418]]",1/1/2021,1410,22.93104664,0.00070922,0.002836879,0.041134752,0.032624113,0.013475177,204,341,0,0.000906003
2937,"[[34.785117, 32.05736], [34.784716, 32.055935]]",1/1/2021,5637,67.13966779,0,0,0.002306191,0.00266099,0.000709597,281,833,0,0.000473047
2938,"[[34.770413, 32.086165], [34.771335, 32.087608]]",1/1/2021,318,22.099541,0.012578616,0,0.028301887,0.059748428,0.025157233,69,86,0,0.00805057
2939,"[[34.78573, 32.048314], [34.786237, 32.047435]]",1/1/2021,7527,88.90736146,0,0,0.001195695,0.000132855,0.000132855,337,2630,0,0.005701448
2940,"[[34.784675, 32.055733], [34.784523, 32.054998]]",1/1/2021,13620,77.03222311,0,0,0.000220264,0.002936858,0.000293686,107,801,0,0.001248439
2941,"[[34.775328, 32.073921], [34.775413, 32.074059]]",1/1/2021,496,33.46813506,0.006048387,0.002016129,0,0.050403226,0.034274194,60,262,0,0
2942,"[[34.77356, 32.0594], [34.773757, 32.060067]]",1/1/2021,110,20.34835714,0,0,0,0.063636364,0.190909091,0,0,0,0
2943,"[[34.773957, 32.078143], [34.77394, 32.07812]]",1/1/2021,768,39.42876773,0,0,0,0.00390625,0.002604167,63,512,0,0.01171875
2944,"[[34.78823, 32.062859], [34.788326, 32.062963]]",1/1/2021,10497,49.74883394,0,0,0.000952653,0,9.53E-05,1166,6963,0,0.004680017
2945,"[[34.773776, 32.072103], [34.773485, 32.071933]]",1/1/2021,141,23.17939248,0,0,0,0.205673759,0.241134752,0,0,0,0
2946,"[[34.779967, 32.074004], [34.780128, 32.07573]]",1/1/2021,218,27.13512194,0,0.004587156,0.004587156,0.055045872,0.04587156,64,74,0,0.00736477
2947,"[[34.775543, 32.075017], [34.774929, 32.075621]]",1/1/2021,543,28.54873777,0,0,0,0.226519337,0.20441989,0,0,0,0
2948,"[[34.774439, 32.076869], [34.774667, 32.076112]]",1/1/2021,1068,33.80209613,0.004681648,0,0.006554307,0.088014981,0.047752809,268,499,0,0.006259926
2949,"[[34.783131, 32.063837], [34.783895, 32.063668]]",1/1/2021,123,48.96123596,0,0,0,0.040650407,0.040650407,14,53,0,0.018867925
2950,"[[34.785426, 32.05436], [34.785511, 32.055195]]",1/1/2021,6664,57.50069895,0,0,0.004351741,0.0015006,0,1293,4291,0,0.001654564
2951,"[[34.788099, 32.07491], [34.7881, 32.075723]]",1/1/2021,4188,22.91708773,0.030802292,0,0.005253104,0.118194842,0,255,310,0,0.002850503
